iter,best,mean,std,range
0,927.0546976,1953.540733,532.5830782,2155.603836
1,688.1632985,1348.585367,408.6900007,1280.006573
2,615.8605466,1301.783697,700.5552025,2491.130401
3,587.787357,846.9581354,202.007504,650.1367763
4,612.5099986,1121.748196,446.9888144,1720.070463
5,606.4721891,1741.360976,1985.362779,7784.845856
6,663.8617439,1983.712697,1608.04163,4345.844655
7,624.5519134,1076.661707,759.3630247,3273.569721
8,581.1889448,1413.237478,1435.894455,4287.222285
9,588.3094338,1021.818907,643.11888,2664.357351
10,577.1081035,1020.688009,953.3657476,3863.75606
11,578.2871647,763.6469492,217.7378616,953.9756526
12,576.688899,689.3766723,117.9542808,440.5103685
13,584.9474992,647.4300596,45.32734198,163.4231344
14,581.036185,636.6733168,56.56683222,187.876539
15,584.1861581,635.031733,51.72558339,203.4971581
16,583.4991272,607.3288848,20.43948672,83.01992532
17,576.9147989,622.2669412,39.47512975,139.3598082
18,576.5708442,597.2306019,24.54575646,102.9773519
19,579.3169385,595.1431984,14.39728178,55.87187305
20,577.1840954,588.2628422,11.37766111,37.16788965
21,577.2539378,587.8587714,8.521710217,27.54624649
22,576.3037531,582.3284704,5.483692125,22.54701946
23,575.8665992,580.8797829,5.752293851,21.47106348
24,575.4311107,579.9768023,3.225705357,12.70468863
25,575.6122325,578.5764121,3.460651126,13.59770223
26,575.7973324,577.3681161,1.667608257,6.845633519
27,575.5511306,576.8796384,1.107909321,3.760360655
28,575.4455159,577.2013156,1.506319869,4.893399425
29,575.6483367,576.7977799,1.090916274,3.942577419
30,575.5898635,576.5169275,0.8557013942,2.873478701
