iter,best,mean,std,range
0,2724.376834,7852.273304,2190.982283,8491.861898
1,1728.245172,4926.86514,1683.200173,6371.595617
2,372.9769826,3638.50156,1888.509976,7345.254677
3,374.629252,1178.741301,488.098422,1582.050378
4,400.2869264,1326.720282,662.8085151,2080.647707
5,350.646588,1663.953105,1656.514744,6770.8652
6,351.0107415,1642.155841,1125.800629,4868.013067
7,359.7859639,1432.915876,889.2917545,3317.695763
8,346.1918633,1341.920846,720.9341686,2600.800696
9,371.8499368,817.4680073,423.9580594,1665.241748
10,351.4998035,807.9939019,500.2955984,2112.451584
11,372.3352841,721.9814542,348.2818564,1306.353608
12,339.7085121,831.0775493,372.2854298,1143.29433
13,381.796907,544.2537598,152.4918383,573.4635716
14,394.2836907,687.9010902,300.3514861,1259.14703
15,375.1568847,576.9667645,176.8988402,553.9356579
16,343.8566672,507.6470771,134.7263064,463.3891744
17,343.6023462,501.8602964,187.0207157,626.9515573
18,345.2765251,450.1064984,110.7474147,357.3795836
19,343.2146038,386.1593921,41.22972978,161.9133587
20,340.7529946,388.1675103,45.90473207,160.2424434
21,348.680421,388.0064546,36.5615737,156.5848714
22,340.4176539,376.896633,29.08346045,109.1065362
23,341.5250675,365.4982766,20.23484922,73.55250741
24,340.9470138,362.383158,19.17160945,71.25651766
25,339.9658472,356.7666957,18.10335758,68.48371974
26,339.9622659,351.9284008,8.600374984,34.1323736
27,340.2326291,352.9306465,15.49140139,52.34669149
28,338.9975047,350.0479529,13.96726441,51.45903345
29,338.9993724,348.1241464,9.901025734,35.01564303
30,339.1353298,349.376477,9.550185748,31.52112818
31,338.8211742,344.5236771,5.375830636,20.18940241
32,338.7928179,342.530463,3.167835927,11.53948008
33,339.0261847,342.010568,2.882970157,11.14285134
34,339.2797857,341.8268105,2.601048713,9.68510541
35,338.68728,340.4809924,1.71264905,6.780835545
36,338.7330429,340.4635409,0.9729039455,3.253475273
