iter,best,mean,std,range
0,4416.218369,6114.028324,990.1955696,3725.342004
1,4244.491376,5092.29641,767.9128473,2576.511093
2,4154.146345,4506.588917,304.4510423,1128.197782
3,3871.66578,4630.574874,774.8116517,2919.311017
4,3811.731554,5282.971595,1409.832112,5522.532949
5,4023.126664,4438.443936,394.535685,1324.675578
6,3943.057243,4928.226063,1058.270881,4159.354717
7,3859.707053,4268.373254,419.3259617,1619.353415
8,3821.583004,4068.967884,207.5398665,614.9277727
9,3826.269864,4026.508499,195.3063283,780.5945673
10,3829.093347,4171.900602,562.5823125,2438.300494
11,3812.264562,3931.58588,149.1790706,517.5708095
12,3816.809913,4139.777457,728.358454,3074.855304
13,3803.067597,4519.231492,1137.818686,3392.030948
14,3790.195506,3877.037909,81.33080103,310.3562168
15,3799.565711,4039.598227,618.189871,2615.682099
16,3782.320043,4321.302703,917.7918459,2688.247042
17,3773.977228,4054.736523,822.5023521,3460.389513
18,3783.512439,4638.683271,1198.665123,3053.293763
19,3765.28328,3843.686528,51.79478587,189.0635181
20,3783.449495,4004.6561,716.2538711,2991.742556
21,3772.360738,4145.216289,872.5817905,2827.939152
22,3763.087823,3974.452896,597.6265037,2519.954141
23,3767.623086,4121.349216,813.953597,2517.372853
24,3763.160624,3964.956203,578.1109149,2434.875511
25,3766.564359,3936.57292,569.2866585,2373.920538
26,3757.239279,4251.154167,973.3429045,2558.200125
27,3757.719775,3923.108797,590.5029004,2452.182469
28,3757.970294,4281.964915,1030.688386,2677.723926
29,3752.177756,4091.087858,861.5419905,2651.092335
30,3749.094815,3929.140267,622.8225194,2591.64582
31,3752.394036,4911.319357,1298.181899,2907.325007
32,3753.163924,4705.62164,1202.450537,2675.605526
33,3756.495115,4414.143997,1109.044645,2668.448227
34,3754.288274,3768.855188,8.949590543,28.58744531
35,3750.851916,3759.977149,5.818422743,20.21671423
36,3747.987342,3909.543282,596.56922,2471.989174
37,3750.321405,4071.14559,829.7377978,2555.382254
38,3748.528796,4381.230518,1087.524141,2523.527907
39,3747.499409,3753.036525,4.627792111,16.16876803
40,3746.806181,4218.737648,973.435131,2559.701697
41,3747.697411,4061.328137,821.9170741,2504.302023
42,3746.560399,4215.183774,968.2034629,2505.906143
43,3747.68925,4221.786952,981.6961487,2545.582154
44,3747.309306,4220.083563,977.2860058,2548.67186
45,3746.933401,3748.087311,1.057215558,3.845531305
46,3746.874803,4373.113595,1082.010385,2510.234562
47,3746.744928,3748.440159,1.120192151,4.840062446
48,3746.200977,3747.76532,0.8291794519,3.35711973
