iter,best,mean,std,range
0,1794.389838,3679.239571,892.8507091,3417.466611
1,1112.633553,2866.581855,1030.412193,3975.610083
2,548.7037715,1829.37364,819.5563425,2768.250327
3,494.5992,976.1848947,426.2770636,1404.901986
4,531.5182286,1073.346499,463.921425,1540.962538
5,647.8115795,1472.754141,840.2787153,2757.596938
6,488.6812817,770.4780076,268.8223371,969.809971
7,478.5533593,723.4868121,267.0237656,1082.07403
8,492.9708219,946.4766974,1021.86596,4348.124026
9,487.0991784,686.3907667,164.1062492,623.2932098
10,471.4230273,632.7387461,166.344054,498.8245724
11,523.4836949,663.381854,110.4532512,408.5648045
12,479.1018792,798.100032,749.3939365,3140.189154
13,477.246994,571.273774,94.59374616,298.1995507
14,473.7868165,742.9110189,728.0531357,3074.644168
15,473.1601623,710.2665675,561.4015146,2387.190818
16,483.4174029,763.5603579,731.603387,3100.942987
17,482.1473455,1264.263132,1237.151232,3034.332836
18,472.1555208,1070.43436,1192.751824,4174.738709
19,474.1639571,551.3596076,67.02408803,300.1253251
20,470.6208072,682.5001473,663.974716,2779.512666
21,471.8490836,507.4201363,31.79143603,114.0123029
22,473.351363,1071.899526,1164.080193,3374.245569
23,471.2848612,505.2023929,33.41216113,127.1391365
24,471.5615584,497.330795,26.85540701,114.9700601
25,485.3482417,504.9706236,21.05426364,88.76729269
26,471.5455801,486.6989663,12.8832946,43.15685164
27,470.5880878,483.3338036,10.78537559,37.62274249
28,470.2485634,633.6303294,570.5208476,2372.256207
29,469.6584235,632.2418701,615.7316567,2547.273595
30,469.3095581,474.3341726,5.322124737,21.45668831
31,470.5988182,477.7859574,9.654110361,40.40606513
32,469.5752567,474.6198822,5.347403634,20.91030568
33,469.7085649,473.079305,3.496035071,10.49593072
34,469.3854304,472.4268522,4.398493171,18.528097
35,469.6907755,472.9341221,2.69913488,9.089192211
36,469.1810696,470.5181267,1.270130844,4.45850496
37,469.2459328,471.1189996,2.518150691,10.71462684
38,469.3691839,470.4697196,1.183373861,4.247486024
39,469.1207867,469.9116615,0.6555811606,2.708443369
