iter,best,mean,std,range
0,7524.68007,12858.09646,2961.284589,9995.396324
1,5352.809601,10548.46068,3359.070197,13949.47909
2,3109.994051,7335.808336,2800.11234,10519.93847
3,1143.108791,5070.512957,2641.023376,10768.22435
4,1162.516893,3943.147104,3155.516359,10655.11241
5,1268.167593,3249.790568,2123.34654,9300.061009
6,1131.627797,3282.701802,2552.647226,10272.59285
7,1111.94822,3029.145286,1814.799772,7124.882407
8,1108.31874,3785.21512,2513.195008,7866.93389
9,1150.147254,2271.24059,1085.386285,3789.787504
10,1103.785056,1714.476424,937.6199556,3619.019069
11,1074.534938,1653.671887,600.4238509,1910.740653
12,1076.555831,2228.447405,1445.412873,4768.370947
13,968.6477766,1546.971792,526.8111484,1836.391814
14,1041.823134,1464.149065,576.3185054,2288.491706
15,1017.048994,1521.056219,582.9497937,2079.481969
16,1025.210553,1407.973068,446.7153391,1616.507411
17,1065.026984,1698.858827,946.0559598,2820.468736
18,1029.37429,1381.668981,811.5551254,3410.877488
19,1013.504473,1108.939769,114.9685639,491.0885375
20,1007.183688,1398.441507,524.651821,1724.830305
21,997.0461301,1205.235946,337.0196425,1449.705388
22,1006.296463,1246.719317,542.1884802,2321.738018
23,996.7321703,1088.410677,59.21954484,256.0836603
24,1001.01669,1084.957,81.79224372,305.5220966
25,1001.628637,1043.5917,34.01766709,137.3908277
26,999.0327258,1048.027406,35.85861889,130.5769075
27,1003.432064,1036.927052,38.40154689,138.2467147
28,997.3947153,1047.268708,52.87885923,193.0827918
29,1000.768626,1016.912405,14.1719806,60.53853702
30,998.181824,1012.790443,14.89536149,54.53626166
31,997.873338,1017.333957,16.66324737,63.36330057
32,997.2459844,1020.849898,32.37645131,127.2999504
33,996.8475565,1013.269963,15.99608369,55.82373096
34,997.0638609,1010.395028,15.48789873,52.68848051
35,997.0055441,1006.922953,9.625170453,30.21694277
36,996.6033676,1001.745612,5.240639438,21.00208909
37,995.9042307,1002.877264,10.22324271,43.1169167
38,995.1640365,1001.301188,5.29268622,19.01406916
39,994.734675,998.2914696,2.405343269,10.24164462
40,994.3879162,997.3066441,2.121323036,7.176202239
41,995.3050264,998.3925397,3.122405154,11.25928661
42,995.2106945,997.6957431,2.230854284,8.374291767
43,994.7885448,997.0729628,1.806959055,6.469168618
44,994.8006964,998.0381976,3.78424598,16.1382006
45,993.1884924,996.7145044,1.935164602,6.596886827
46,993.5441475,995.8482114,1.454664397,4.732390805
47,993.291283,995.6498561,1.545804612,5.372484442
48,993.3697672,996.4447565,2.263640967,8.352270566
49,993.0957377,995.0447618,2.301619095,7.14210721
50,992.8092505,994.7017376,1.913989776,7.914781766
51,992.521952,994.0495404,0.8689430921,3.346526664
