iter,best,mean,std,range
0,991.2631302,1400.117597,361.4748147,1342.904491
1,716.3265694,1260.429297,483.7388398,1478.885276
2,660.0225186,1113.38475,451.3873501,1642.185828
3,634.3440216,913.2978056,263.5692687,865.4588549
4,642.6973063,970.071913,452.1045715,1934.221678
5,617.3522684,932.6978045,320.2426097,1297.193726
6,623.5250689,798.1314116,233.0387115,885.9352877
7,622.8106075,771.6601138,172.4281832,575.8057214
8,619.8524181,1097.056686,1120.959818,4365.189512
9,619.5901544,915.1996393,909.0218738,3800.870789
10,638.9240537,707.6799427,61.73785129,218.9725138
11,624.1680124,686.1135418,53.12376869,169.3219131
12,626.9609158,654.8257447,24.50065187,79.06458402
13,617.7254257,676.27608,41.45463439,145.8163592
14,632.4788631,685.3731916,45.15805405,176.5380518
15,616.8164626,672.160157,52.79343749,174.7749139
16,623.7856338,844.6748153,661.5252311,2762.222764
17,616.8049871,647.5243492,25.44495336,93.07626874
18,618.8056348,635.4489742,18.07628394,61.1940766
19,616.509905,631.6183518,17.60435472,59.73607217
20,616.8369514,624.5995903,6.771955758,19.26589648
21,616.8890284,625.6548959,5.496022337,21.57934938
22,616.590502,625.5938841,8.352734568,32.63820023
23,616.8293432,624.3376888,5.8672206,20.57584166
24,616.4112674,623.8899465,5.817365198,18.77138288
25,616.7256605,624.5387103,8.077168906,26.43707147
26,616.5259143,627.5471767,6.831446867,25.87255525
27,616.3706686,630.4709227,11.27069747,34.67982851
28,617.7717698,633.2577559,11.64733785,45.07277571
29,617.788614,629.7845756,11.35253591,33.56677428
30,616.6610019,625.4795388,10.94703147,32.96249392
31,616.1749232,622.3209314,5.628840258,22.37655959
32,616.9741632,621.2445959,3.634162737,13.6836776
33,616.3643716,620.3382855,3.967407427,11.97332995
34,617.4644941,619.9884782,2.079290036,6.631598308
35,616.1155026,618.415193,2.033423816,7.430305215
36,616.2678436,617.6256519,1.346375419,5.946917861
37,616.1907176,617.8499527,1.357277042,4.49867596
38,616.1292074,617.148875,0.7920631766,2.712307703
