iter,best,mean,std,range
0,3679.012759,4769.95946,841.8789808,3431.635564
1,2995.038344,3776.338197,421.1421522,1725.307013
2,2824.327072,3294.874176,391.2072434,1470.722609
3,2817.289357,3250.388744,400.4534251,1375.754697
4,2763.442277,3233.293655,469.7931109,1521.140609
5,2774.275891,3184.461976,451.6062418,1883.657759
6,2694.121426,2992.18924,223.5091594,932.0132731
7,2749.032783,3055.612213,334.3527001,1239.653101
8,2779.673619,3002.2614,256.5328971,978.4224526
9,2697.818933,3271.14573,774.7363482,2454.749134
10,2730.661646,4126.080762,1607.148655,5214.947651
11,2715.03978,3712.537634,1098.986828,2883.500748
12,2710.607833,3535.04925,1376.175355,4292.765021
13,2721.252176,3350.586393,947.2080019,3182.59915
14,2708.926437,2804.761294,83.32939117,304.4705888
15,2732.407486,2939.683612,371.8997407,1542.169637
16,2711.555818,2814.493703,67.24737088,219.7849844
17,2703.287617,2786.870741,57.73169324,232.5118055
18,2705.237189,2747.386747,27.26233066,82.55012769
19,2698.329042,2746.533933,51.79964916,185.1029937
20,2704.057454,2748.344863,29.02284491,90.44944186
21,2698.096106,2722.489286,21.83456222,78.97038538
22,2693.516566,2728.503641,26.84865569,92.15725399
23,2700.652778,2731.672473,35.24695395,143.5168712
24,2694.902101,2720.926431,36.09953625,155.4469033
25,2693.03414,2714.442564,26.52922364,91.18355365
26,2695.445293,2709.922198,13.25026608,45.22996527
27,2693.494494,2708.65514,13.25002753,56.8129386
28,2692.836955,2702.609636,11.95064475,41.76561118
29,2693.082154,2699.022298,5.727283566,19.3779162
30,2692.566061,2695.781677,2.974040965,10.95063652
31,2692.832996,2695.337171,2.420703836,7.466174507
32,2692.494255,2696.962675,5.059347023,22.44962217
33,2693.052966,2696.6217,4.156783222,16.88128506
34,2692.722271,2696.650888,3.684921681,10.3103323
35,2692.374486,2695.527963,2.801719888,10.86923262
36,2692.415533,2695.422409,2.54784247,9.610599859
37,2692.417556,2694.859272,2.112560988,7.509024162
38,2692.338429,2693.993651,1.115269119,3.842027599
39,2692.417203,2694.35069,1.498156716,5.268072756
40,2692.259862,2693.155483,0.7550392205,3.157688477
