iter,best,mean,std,range
0,4421.905707,6876.253338,2089.550192,7737.238133
1,2493.394744,5254.242154,1916.195299,8264.180418
2,1108.826509,3083.541196,1114.159121,4191.099931
3,592.4316558,2278.230781,1308.659148,5543.83488
4,482.4473232,1749.986994,1120.065958,4814.347346
5,354.7917702,1444.621294,1481.789099,5359.617252
6,257.1999366,1275.762013,877.0518824,2567.908985
7,405.1917286,1224.754659,851.763728,3052.088027
8,260.5054252,708.6234365,528.1105783,1751.630376
9,380.5205814,704.9629518,408.8186209,1410.020788
10,292.5369168,565.3012257,268.6547459,864.0402204
11,249.5025157,668.8342274,377.3302401,1214.214434
12,244.7530512,351.0733248,129.742407,459.0359942
13,247.0382731,622.450344,799.0579563,3407.661767
14,243.9852759,387.212096,151.4997721,543.6590529
15,239.1942614,314.2574986,68.22949322,255.557328
16,248.7513866,315.0666583,64.11232727,216.7789589
17,246.4437498,317.7667515,68.98303937,263.9932187
18,265.1779251,366.4868932,71.78597228,245.8700678
19,256.237077,710.612839,1077.277112,4126.634835
20,260.8921734,317.4952186,46.42829303,149.5675455
21,243.0336683,299.3462863,46.79403443,166.383522
22,245.0219584,291.8880844,38.92949974,131.2514151
23,239.9378421,254.565512,11.59573036,47.8756341
24,239.6452944,257.0044209,16.29444295,55.37773483
25,242.2780782,273.0933756,23.62694098,83.99672455
26,242.3557428,255.4910794,14.59754992,54.78821661
27,241.5161534,263.8101921,27.6959046,98.44969991
28,240.1052485,251.7453654,10.80501804,36.37804083
29,240.7065159,249.7369625,7.907925705,27.94095184
30,239.903251,249.3962688,7.21463298,26.38440268
31,239.5049159,244.5902917,4.954369341,21.67186758
32,239.4298035,244.8308479,4.497608541,17.59416341
33,239.2564106,241.9714956,1.97743243,6.280360538
34,239.4850172,241.5852217,1.373107929,4.490249289
35,239.1971535,242.8094271,3.948126274,14.25522003
36,239.191826,241.4009313,2.166223392,8.967115312
37,239.1113392,242.5497999,3.550244314,14.01231428
38,239.3820864,240.9783327,1.478682804,5.68589107
39,239.2643865,241.2099094,1.351973649,4.881985231
40,239.1260336,240.2415219,0.9318254402,2.961145874
