iter,best,mean,std,range
0,5731.677816,6378.230181,570.152836,2051.831508
1,5609.718514,6245.740774,585.441239,2424.383048
2,5571.394255,6146.309861,422.1843222,1628.256585
3,5206.806065,5865.9298,331.6976458,1298.115111
4,5209.634795,5708.976233,402.6479728,1281.062235
5,5095.81464,5623.30066,485.2556016,1890.308963
6,5236.290356,6242.571711,1067.594714,3173.210712
7,4965.199195,5724.966016,600.1754688,2469.330698
8,5030.827142,5461.281299,268.0934196,957.8775228
9,4930.207747,5462.148675,399.3651022,1615.478278
10,4914.936269,5433.111474,447.4714799,1463.855561
11,4901.077344,5831.175742,1164.414321,4212.450677
12,4923.802777,5367.260962,649.3798974,2707.543274
13,4952.217595,5292.215759,313.0914499,938.7647125
14,4766.27549,5266.755052,457.6864172,1490.003649
15,4736.050865,5201.061669,592.1099193,2182.313123
16,4760.111131,5560.175516,1253.829675,4336.650338
17,4783.841278,5145.27267,788.732849,3358.710061
18,4851.232498,5776.247383,1348.755926,3415.687786
19,4731.803338,5551.693837,1264.028545,4302.555824
20,4798.746582,5650.544105,1245.405531,3536.07696
21,4761.423557,5886.731178,1469.487391,3518.24734
22,4765.493016,4954.806016,156.7757394,665.0413297
23,4799.025472,5799.123599,1458.198639,3799.91168
24,4783.661629,5010.485197,237.9181967,998.5124243
25,4794.907613,5312.631258,1059.148799,3499.415378
26,4747.480718,5514.519146,1308.064037,3771.260544
27,4757.323554,5364.378091,1158.219386,3634.775643
28,4743.467674,5059.847684,729.5114953,3110.379975
29,4746.607401,4889.785415,76.22713882,272.0429143
30,4744.568111,4872.420182,90.50463865,310.2553195
31,4744.152495,4972.750427,262.4244438,1038.202468
32,4752.002113,4899.658297,107.6086188,360.9914363
33,4732.462074,4961.840992,376.3906983,1286.91396
34,4723.223323,4781.854351,52.95417098,182.5355286
35,4716.877346,4810.994695,82.50125801,314.2382904
36,4715.404436,4779.820944,47.02486992,156.7266414
37,4691.280694,4775.987774,52.86589344,213.7349209
38,4701.026385,4985.902592,886.3311047,3712.762928
39,4702.96687,4971.401896,802.5371935,3369.026039
