iter,best,mean,std,range
0,582.7246099,3195.51387,1250.589581,5585.390104
1,510.0610356,1653.051874,736.5434956,2792.266841
2,347.3197103,1049.014939,742.5507392,3122.060613
3,340.7342707,849.5590533,426.5240897,1595.791031
4,340.1549306,1127.728615,602.3868357,1952.553541
5,421.7308751,1263.441614,802.7674991,2491.691938
6,319.8448244,763.9466607,393.8591712,1357.999585
7,311.4086943,859.0163769,702.4724965,2813.516605
8,334.3805821,609.2478448,296.8717787,1128.749332
9,332.1892938,623.1772767,254.8182184,797.6008118
10,306.0889525,522.3527024,316.6215301,1344.791963
11,307.1018315,505.7487278,154.7818267,521.4668644
12,320.602551,450.5734195,107.5350067,373.0672562
13,322.5066014,468.4184042,162.9220732,694.3512026
14,316.4657481,475.1288871,119.5057682,470.6080019
15,308.7183043,359.6278138,34.1132184,113.5732327
16,308.2591664,371.4396996,72.40676199,290.9118334
17,310.6731303,350.1672565,40.69495241,139.3995423
18,309.5635592,344.50958,28.796299,106.348887
19,308.8948484,603.60973,668.0571781,2193.370345
20,310.3748857,347.9787361,28.44156722,92.31046959
21,308.7447861,357.9991287,33.89163903,94.18626914
22,305.5459887,351.058274,35.18564957,110.7344157
23,311.5908347,366.9231517,57.54256602,207.3030486
24,309.8982209,499.142465,683.7898144,2837.058943
25,305.6090582,316.4674771,16.15790928,66.22074808
26,305.948005,314.3381848,13.31054383,55.79998479
27,305.8950413,321.0728171,13.9877609,51.87043702
28,307.4722776,314.8117925,7.021509065,20.15511191
29,306.0440378,316.6699405,7.82090032,29.0141997
30,305.5800131,310.6194549,3.39184552,11.46798465
31,304.8296049,311.9849602,3.318008703,12.70285834
32,304.8751931,315.3024689,11.54814012,45.17720348
33,305.3156738,315.8303757,9.852780749,40.77067738
34,304.9214518,308.9510325,2.804026947,10.34528783
35,305.0569995,309.164037,3.633222263,15.38681261
36,305.4785728,308.7399642,2.934330461,8.320237579
37,305.3438549,306.8430847,1.414721314,4.432381612
38,304.8579069,306.3302253,1.168092063,4.597377635
39,305.0829727,305.860828,0.744163666,2.798226713
