iter,best,mean,std,range
0,5603.335542,10433.86413,2819.625346,9903.651491
1,3430.217521,8060.083667,3536.330885,13024.80266
2,2489.149596,4779.7735,1673.011513,5975.919501
3,1911.16443,6244.114301,4431.269483,17150.39119
4,1666.837324,3251.082487,1584.214316,6226.377363
5,1418.370481,2796.376354,1258.022449,3985.676599
6,1465.234171,2665.220336,1362.172202,3921.665648
7,1558.31707,2443.579996,868.9877903,2762.786934
8,1454.38717,2413.690368,1141.919376,4723.697641
9,1433.397902,2332.48922,1185.158134,3865.046786
10,1451.293807,1897.706046,405.5549956,1610.547584
11,1432.698447,1768.590445,302.2267133,1083.656356
12,1372.803292,1607.707441,270.544098,909.337165
13,1375.293687,1609.126154,268.3585012,850.9214379
14,1390.706547,1745.109029,516.8279176,1994.832532
15,1361.338466,1640.884598,187.5152212,592.5222023
16,1364.954672,1644.068314,308.9264418,1122.823281
17,1393.015746,1566.777223,186.4014222,756.4743113
18,1382.82355,1513.672718,102.7900743,373.6359198
19,1370.590856,1628.752887,200.8448713,815.2767003
20,1373.426131,1673.978781,236.4662687,942.4341961
21,1370.186297,1587.429434,167.4537226,632.6331752
22,1356.572432,1808.979327,880.6236086,2786.41403
23,1366.915348,1448.825268,59.60067458,194.8597961
24,1371.827591,1468.891105,151.5632762,528.0114411
25,1368.214973,1406.904494,26.1370956,87.01909887
26,1365.033162,1400.726334,30.86818805,139.6897802
27,1358.098537,1400.502335,46.3618736,127.9798589
28,1355.331417,1385.29026,25.85599919,100.7227346
29,1356.475649,1371.143207,14.45648199,54.07745454
30,1357.513993,1374.246845,15.01112483,48.92027722
31,1357.897572,1372.486813,12.76963786,40.87621047
32,1356.572174,1372.134622,11.15522428,36.22416996
33,1355.943745,1366.192082,8.16444182,29.87098753
34,1356.406892,1365.969521,8.009282438,30.23371725
35,1353.263021,1362.950517,9.063685315,31.93928825
36,1350.911756,1357.821226,5.016891807,21.50025359
37,1351.615539,1357.624563,4.46465408,16.63787015
38,1351.37782,1358.799224,5.71565208,16.89152033
39,1353.219907,1359.525374,5.642083456,18.83083063
40,1349.832183,1363.721362,11.3959581,39.89908472
41,1351.380995,1358.577751,6.819100346,23.47776701
42,1351.019724,1355.439747,2.921781786,11.53383044
43,1351.102417,1481.784575,496.0163766,2051.711339
44,1349.697559,1354.637776,2.976698912,9.232244185
45,1349.693981,1353.651764,2.886542101,11.35059201
46,1350.541721,1352.724257,1.876020506,6.345935599
47,1349.247395,1352.898296,2.705237936,10.14181127
48,1349.412358,1352.120315,2.674065858,10.20775558
49,1349.111113,1351.667203,1.59295943,7.474889072
50,1349.302449,1351.429813,1.828924738,6.859548634
51,1349.999728,1352.993205,2.799922156,8.546715242
52,1348.892603,1351.906715,1.96699071,7.837240502
53,1348.762446,1350.64675,1.134635494,3.768603915
54,1348.713515,1349.808698,0.7782340442,3.153304956
